Customer,TotalRate,Pickup,Dropoff,PickupDate
0,0,NULL,NULL,NULL
6269,1300,  Epes Transport Warehouse,  TA Services,2023-09-21
6270,1800,GREENDALE IN,CHESTER VA,2023-09-21
6271,850,VIRGINIA BEACH VA,BROWN SUMMIT NC,2023-09-21
6272,800,"  920 BLACK SATCHEL RD, CHARLOTTE NC 28216","  2000 Monticello Ave, NORFOLK VA 23517",2023-09-21
6271,750,virginia beach va,brown summit nc,2023-09-21
6268,1350,"  Petersburg, VA","  Terre Haute, IN",2023-09-21
6276,3000,"  EXEL LOGISTICS, 2100 INNOVATION BLVD, MOORESVILLE, IN - 46158 USA","  VERSATILE PACKAGERS, 933 CHAD LN, TAMPA, FL - 33619- 4331 USA",2023-09-21
6273,950,  TAMPA FL 33637,LYNDHURST VA 22952,2023-09-21
6268,1350,"Petersburg, VA","  Terre Haute, IN",2023-09-21
6274,2000,CRAWFORDSVILL IN 47933,SUFFOLK VA 23434,2023-09-21
6271,850,"  WORLD DISTRIBUTION SERVICES 1537 AIR RAIL AVE VIRGINIA BCH, VA 23455-3017","  LT APPAREL GROUP 5979 Summit Ave BROWN SUMMIT, NC 27214",2023-09-21
6275,1150,"  WORLD DISTRIBUTION SERVICES 1537 AIR RAIL AVE VIRGINIA BCH, VA 23455-3017","  LT APPAREL GROUP 5979 Summit Ave BROWN SUMMIT, NC 27214",2023-09-21
6275,1150,Detention,,2023-09-21
6277,2060,"  AVONDALE, AZ 85323","    HOUSTON, TX 77048",2023-09-13
6278,1975,"Houston, TX","Tolleson, AZ",2023-09-18
6270,2000,"  AIPC-DRP--STATES LOGISTICS (SL) 6868469 N/A 09/05/2023 (0845)
420 § 10 4 TH AVE
TOLLESON, AZ 85353","  BROOKSHIRE BROTHERS 4501959711 N/A 09/06/2023 MARTIN LUTHER KING JR. BLVD LUFKIN, TX",2023-09-25
6279,1649,WILMER TX,TOLLESON AZ,2023-09-05
6280,500,"CHESTER, VA","DISPUTANTA, VA",2023-09-25
6280,750," Chester, VA","Arlington, VA",2023-09-25
6280,750,"Chester, VA","Manassas, VA",2023-09-25
6281,1000,"  PENN PAK 1101 AIRPORT INDUSTRIAL BLVD MADISON, GA 30650","    DC 6023 21500 COX RD SUTHERLAND, VA 23885",2023-09-25
6282,1500,"  Virginia Beach, VA 23455","  Lawrenceville, GA 30046",2023-09-25
6283,950,"  180 BROOKS BLVD, SPARTANBURG, SC 29307","  2333 WELLS ROAD, PETERSBURG, VA 23805",2023-09-25
6284,680,ASHLAND VA,CHARLOTTE NC,2023-09-25
6285,2000,"  LA PORTE, TX 77571","  WINSTON SALEM, NC 271074574",2023-09-25
6286,750,"  701 LAWTON RD, CHARLOTTE, NC 28216","  4400 VAWTER AVE, RICHMOND, VA 23222",2023-09-25
6287,2400,"  Avoca Inc, 841 Avoca Farm, Merry Hill, NC 27957","  GMI Mann, 8000 Market Street Suite 130, Houston, TX 77029",2023-09-25
6268,1350,"PETERSBURG, VA","TERRE HAUTE, IN",2023-09-25
6288,627,RICHMOND VA,GREENSBORO NC,2023-10-02
6292,900,"  150 S Bivens Road, Monroe, NC 28112","  4701 Chudoba Parkway, Prince George, VA 23875",2023-10-02
6293,800,"  OTTO ENVIRONMENTAL SYSTEMS, 12700 GENERAL DRIVE, CHARLOTTE NC 28273","  American Hauling Service, 15240 Cleve Dr., KING GEORGE VA 22485",2023-10-02
6280,800,"Chester, VA","Gaithersburg, MD",2023-10-02
6280,800,Chester VA,Alexandria VA,2023-10-02
6280,800,Chester VA,Gainesville VA,2023-10-02
6294,750,Williamsburg VA,Concord NC,2023-10-02
6295,2000,"  Prime Distribution Services (PLFN), Plainfield, IN 46168","  SAMS DISTRIBUTION CENTER, Prince George, VA 23875",2023-10-02
6280,900, Chester VA,Washington DC,2023-10-02
6269,1400,  2501 6 0 th St HAMPTON VA 23661,  1520 Kepner Dr LAFAYETTE IN 47905,2023-10-02
6296,2400,NORTHPORT DR SUITE 1000 ROANOKE TX,QUALITY WAY PRINCE GEORGE VA,2023-10-02
6280,850,"Chester, VA","Washington, DC",2023-10-02
6297,1950,"  High Point, NC","Houston, TX",2023-10-02
6298,800,"Spencer, NC","Prince George, VA",2023-10-02
6268,1350,"  Petersburg, VA","  Terre Haute, IN",2023-10-02
6294,750,"  BRWY - Anheuser Busch, 7795 Pocahontas Trail, Williamsburg, VA 23185","  WSLR-RH Barringer Dist Co Inc, 125 Seven Oaks Dr, Linwood, NC 27299",2023-10-02
6299,1900,IN,VA,2023-10-02
6300,1800,NC,TX,2023-10-02
6301,2000,"  2595 WEST STATE ROAD 28, Alexandria, IN 46001","  1133 Kingwood Avenue, Norfolk, VA 23502",2023-10-02
6302,1900,"  5252 Decatur Blvd, Indianapolis, IN 46241","  11900 N. Lakeridge Pkwy, Ashland, VA 23005",2023-10-02
6269,1300,VA,IN,2023-10-02
6280,850,Chester VA,Arlington VA,2023-10-05
6280,850,Chester VA,Arlington VA,2023-10-05
6303,400,705 BRADBURN PL STE 103 STAFFORD VA,"  2913 Transport Rd Richmond, VA US 23234",2023-10-05
